DNS	﻿A.D.N.
scheinheilig	benoît
süßlich	benoît
Benzin	benzine
Benzol	benzine
Waschbenzin	benzine
rektifiziertes Benzol	benzine
Benzol	benzol
Benzol	benzène
Dummerjan	benêt
Tölpel	benêt
Berber	berbère
Berber-	berbère
Berber	berbère
Berberin	berbère
Schoß	bercail
Schoß der Familie	bercail
Bärenklau	berce
Geburtsstätte	berceau
Laubengang	berceau
Schlitten	berceau
Tonne	berceau
Wiege	berceau
grüner Laubengang	berceau
Schaukeln	bercement
Wiegen	bercement
einlullen	bercer
schaukeln	bercer
schmusen	bercer
wiegen	bercer
einlullend	berceur
wiegend	berceur
Berceuse	berceuse
Wiegenlied	berceuse
Bergamotte	bergamote
Böschung	berge
Flußufer	berge
Jahr	berge
Lebensjahr	berge
Steilküste	berge
Steilufer	berge
Ufer	berge
Uferböschung	berge
Uferweg	berge
steile Böschung	berge
steiles Ufer	berge
Gaucho	berger
Hirt	berger
Hirte	berger
Schafhirt	berger
Schafhirte	berger
Schwaiger	berger
Schäfer	berger
Schäferhund	berger
Schäferhund	berger allemand
schottischer Schäferhund	berger écossais
Schafstall	bergerie
Schäferei	bergerie
Schäfergedicht	bergerie
Viehwagen	bergerie
Bachstelze	bergeronnette
Hirtin	bergère
Schafhirtin	bergère
Schäferin	bergère
bequemer Lehnsessel	bergère
gepolsterter Lehnsessel	bergère
bäh	berk
igitt	berk
igittigitt	berk
pfui	berk
Förderwagen	berline
Grubenwagen	berline
Hund	berline
Limousine	berline
viertürige Limousine	berline
Fruchtbonbon	berlingot
Pfefferminzbonbon	berlingot
Tetrapack	berlingot
Tetratüte	berlingot
tetraedrischer Fruchtbonbon	berlingot
Berliner	berlinois
berlinerisch	berlinois
berlinisch	berlinois
Berliner	berlinois
Berlinerin	berlinoise
Bankett	berme
Berme	berme
Böschungsabsatz	berme
Bermudas	bermuda
Bermudashorts	bermuda
Bermudas	bermudas
Bermudashorts	bermudas
Entenmuschel	bernache
Wildgans	bernache
Einsiedlerkrebs	bernard-l'ermite
Einsiedlerkrebs	bernard-l'hermite
Entenmuschel	bernicle
Napfschnecke	bernicle
berrichonne	berrichon
Quersack	besace
Arbeit	besogne
Werk	besogne
schlechtbezahlt	besogneux
Armut	besoin
Bedarf	besoin
Bedürfnis	besoin
Bedürftigkeit	besoin
Drang	besoin
Erfordernis	besoin
Mangel	besoin
Not	besoin
Verlangen	besoin
Tatendrang	besoin d'activité
Tatendrang	besoin d'agir
Geldbedarf	besoin d'argent
Geldmangel	besoin d'argent
Wasserbedarf	besoin d'eau
Bildungsbedürfnis	besoin d'éducation
Geltungsbedürfnis	besoin de briller
Geltungsdrang	besoin de briller
Geltungstrieb	besoin de briller
Betätigungsdrang	besoin de s'occuper
Geltungsbedürfnis	besoin de se faire remarquer
Geltungsdrang	besoin de se faire remarquer
Geltungstrieb	besoin de se faire remarquer
Wasserbedarf	besoin en eau
dringende Notwendigkeit	besoin extrême
Tagesbedarf	besoin quotidien
dringende Notwendigkeit	besoin urgent
Tagesbedarf	besoins quotidiens
Bestseller	best-seller
Schlager	best-seller
Verkaufsschlager	best-seller
Bestiarium	bestiaire
Tierbuch	bestiaire
Tierkämpfer	bestiaire
bestialisch	bestial
roh	bestial
tierisch	bestial
unmenschlich	bestial
viehisch	bestial
Barbarei	bestialité
Barbarismus	bestialité
Bestialität	bestialité
Brutalität	bestialité
Roheit	bestialité
tierisches Wesen	bestialité
Vieh	bestiaux
Insekt	bestiole
Tierchen	bestiole
kleines  Tier	bestiole
kleines harmloses Tier	bestiole
Mangold	bette
Rübe	betterave
Futterrübe	betterave fourragère
Mangold	betterave fourragère
Zuckerrübe	betterave sucrière
Zuckerrübe	betterave à sucre
Lied	beuglante
gegröltes Lied	beuglante
Brüllen	beuglement
Gebrüll	beuglement
Gegröle	beuglement
Geplärr	beuglement
Geplärre	beuglement
Grölen	beuglement
Johlen Gejohle	beuglement
Muhen	beuglement
Plärren	beuglement
brüllen	beugler
dröhnen	beugler
grölen	beugler
johlen	beugler
muhen	beugler
plärren	beugler
schmettern	beugler
schreien	beugler
Nordafrikaner	beur
Nordafrikanerin	beur
bäh	beurk
igitt	beurk
igittigitt	beurk
pfui	beurk
Butter	beurre
Paste	beurre
Süßrahmbutter	beurre
Tafelbutter	beurre
Sardellenbutter	beurre d'anchois
Erdnußbutter	beurre d'arachide
Erdnußbutter	beurre de cacahuètes
Markenbutter	beurre de qualité
Schmelzbutter	beurre fondu
bestreichen	beurrer
einfetten	beurrer
mit Butter bestreichen	beurrer
mit Butter einfetten	beurrer
mit Butter streichen	beurrer
Butterdose	beurrier
Bacchanal	beuverie
Gelage	beuverie
Sauferei	beuverie
Saufgelage	beuverie
Trinkgelage	beuverie
Zecherei	beuverie
Zechgelage	beuverie
Bei	bey
Bey	bey
bhutanisch	bhoutanais
Bhutaner	bhoutanais
Bhutanerin	bhoutanaise
Ausweg	biais
Gehrung	biais
Umweg	biais
Verkantung	biais
Weg	biais
Winkelzug	biais
Winkelzüge machen	biaiser
ausweichen	biaiser
sich winden	biaiser
wie die Katze um den heißen Brei herumgehen	biaiser
Biathlon	biathlon
Nippfigur	bibelot
Nippsache	bibelot
Silber	bibelots d'argent
Flasche	biberon
Fläschchen	biberon
Saugflasche	biberon
Saugfläschchen	biberon
Schoppen	biberon
gern einen über den Durst trinken	biberonner
ich	bibi
meine Wenigkeit	bibi
unsereiner	bibi
Damenhütchen	bibi
Hütchen	bibi
Herzchen	bibiche
Schatz	bibiche
mein Herzchen	bibiche
Gesöff	bibine
Bibel	bible
Fahrbücherei	bibliobus
Wanderbücherei	bibliobus
fahrbare Bücherei	bibliobus
fahrbare Leihbücherei	bibliobus
Bibliograph	bibliographe
Bibliographin	bibliographe
Bibliographie	bibliographie
Bücherverzeichnis	bibliographie
Literaturverzeichnis	bibliographie
Schriftenverzeichnis	bibliographie
Schrifttum	bibliographie
bibliographisch	bibliographique
Büchernarr	bibliomane
bibliophil	bibliophile
Bibliophile	bibliophile
Bibliophiler	bibliophile
Bücherfreund	bibliophile
Bücherfreundin	bibliophile
Bücherliebhaber	bibliophile
Bücherliebhaberin	bibliophile
Bibliophilie	bibliophilie
Bibliothek	bibliothèque
Bibliotheksgebäude	bibliothèque
Bibliothekssaal	bibliothèque
Bibliothekszimmer	bibliothèque
Buchreihe	bibliothèque
Bücherei	bibliothèque
Bücherregal	bibliothèque
Bücherschrank	bibliothèque
Bücherwand	bibliothèque
fahrbare Bücherei	bibliothèque ambulante
Fahrbücherei	bibliothèque ambulante
Werkbücherei	bibliothèque d'entreprise
Universitätsbibliothek	bibliothèque de l'université
Wanderbibliothek	bibliothèque itinérante
Staatsbibliothek	bibliothèque nationale
Universitätsbibliothek	bibliothèque universitaire
Bibliothekar	bibliothécaire
Bibliothekarin	bibliothécaire
Bibel	biblique
Bibel-	biblique
biblisch	biblique
schriftgemäß	biblique
Kugelschreiber	bic
Kuli	bic
Zweikammersystem	bicaméralisme
Zweikammersystem	bicamérisme
Bicarbonat	bicarbonate
Bikarbonat	bicarbonate
doppeltkohlensaures Natron	bicarbonate de soude
Zweihundertjahrfeier	bicentenaire
zweihundertjähriges Jubiläum	bicentenaire
zweihundertster Jahrestag	bicentenaire
Bizeps	biceps
Hindin	biche
Hirschkuh	biche
strahlen	bicher
zufrieden sein	bicher
Bologneser	bichon
Malteser	bichon
Schoßhund	bichon
Bologneser	bichonne
hegen und pflegen	bichonner
herausputzen	bichonner
hätscheln	bichonner
verhätscheln	bichonner
verzärteln	bichonner
Zeitzündschnur	bickford
zweifarbig	bicolore
bikonkav	biconcave
bikonvex	biconvexe
Bruchbude	bicoque
Dreispitz	bicorne
Zweispitz	bicorne
BMX-Rad	bicross
Geländefahren	bicross
Geländefahrt	bicross
Drahtesel	bicyclette
Fahrrad	bicyclette
Rad	bicyclette
doppelköpfig	bicéphale
zweiköpfig	bicéphale
Rekrut	bidasse
junger Soldat	bidasse
Bauch	bide
Fehlschlag	bide
Fiasko	bide
Flop	bide
Wamme	bide
Wampe	bide
Wanst	bide
dicker Bauch	bide
Bidet	bidet
Pferd	bidet
Pferdchen	bidet
Sitzbad	bidet
kleines Reitpferd	bidet
kleines Zugpferd	bidet
Fleisch	bidoche
Schein-	bidon
Beschiß	bidon
Betrug	bidon
Bluff	bidon
Kanister	bidon
Schwindel	bidon
Benzinkanister	bidon à essence
drollig	bidonnant
lustig	bidonnant
spaßig	bidonnant
ulkig	bidonnant
Bidonville	bidonville
Elendsbehausungen	bidonville
Elendsquartier	bidonville
Elendsviertel	bidonville
Slum	bidonville
Wellblechhütten	bidonville
Wellblechhüttensiedlung	bidonville
Dings	bidule
Dingsbums	bidule
Dingsda	bidule
Abschnitt	bief
Gerinne	bief
Haltung	bief
Kanalhaltung	bief
Mühlbach	bief
Staustrecke	bief
Strecke	bief
Pleuel	bielle
Pleuelstange	bielle
allerdings	bien
brav	bien
doch	bien
fein	bien
freilich	bien
ganz	bien
gern	bien
gerne	bien
gut	bien
halt	bien
mindestens	bien
recht	bien
reichlich	bien
richtig	bien
schon	bien
schön	bien
sehr	bien
tatsächlich	bien
tüchtig	bien
viel	bien
wirklich	bien
wohl	bien
zwar	bien
anständig	bien
bessere	bien
fein	bien
gut	bien
nett	bien
ordentlich	bien
prima	bien
recht	bien
richtig	bien
vornehm	bien
wohl	bien
Beste	bien
Eigentum	bien
Vermögen	bien
Vermögenswerte	bien
Wert	bien
Wohl	bien
treffend	bien ajusté
genügend	bien assez
solide	bien assis
stabil	bien assis
wohlbegründet	bien assis
wohlhabend	bien assis
zahlungskräftig	bien assis
blitzsauber	bien astiqué
durchlüften	bien aérer
durchheizen	bien chauffer
geschickt	bien choisi
Gemeinbesitz	bien commun
Gemeindebesitz	bien commun
Gemeinschaftsbesitz	bien commun
Gemeineigentum	bien communs
bekannt	bien connu
vertraut	bien connu
weithin bekannt	bien connu
wohlbekannt	bien connu
durchdacht	bien conçu
wohldurchdacht	bien conçu
durchbraten	bien cuire
durchkochen	bien cuire
durchgebraten	bien cuit
Volkseigentum	bien de la nation
manch	bien des
manch ein	bien des
etliche Menschen	bien des gens
bereitwillig	bien disposé
wohl gesinnt	bien disposé
sachkundig	bien documenté
bestimmt	bien défini
deutlich	bien défini
scharf umrissen	bien défini
selbstverständlich	bien entendu
gepflegt	bien entretenu
sauber	bien entretenu
schlagfertig	bien envoyé
formschön	bien fait
gealtert	bien fait
wohlgestaltet	bien fait
fest zu machen	bien fermer
sichern	bien fermer
fest zu sein	bien fermé
fest verschlossen	bien fermé
fundiert	bien fondé
stichhaltig	bien fondé
wohlbegründet	bien fondé
sachkundig	bien informé
wohlgesinnt	bien intentionné
dicht	bien joint
bewegliches Eigentum	bien mobilier
durchkauen	bien mâcher
wohlverdient	bien mérité
wohlhabend	bien nanti
durchorganisieren	bien organiser
wohlgesinnt	bien pensant
wohl	bien portant
gesund	bien portant
strahlend	bien portant
formschön	bien proportionné
gertenschlank	bien proportionné
Gemeinwohl	bien public
durchkneten	bien pétrir
dennoch	bien que
obgleich	bien que
obschon	bien que
obwohl	bien que
trotzdem	bien que
wenn auch	bien que
dennoch	bien que
trotz	bien que
ungeachtet	bien que
sauber	bien rangé
benachrichtigt	bien renseigné
durchdacht	bien réfléchi
wohlüberlegt	bien réfléchi
durchbraten	bien rôtir
sich verstehen	bien s'entendre
brav	bien sage
sich warm einpacken	bien se couvrir
gedeihen	bien se développer
synchron	bien synchronisé
freilich	bien sûr
sehr wohl	bien sûr
selbstverständlich	bien sûr
sicher	bien sûr
durchaus	bien sûr
stattlich	bien taillé
stark	bien tassé
stramm	bien tendu
seefest sein	bien tenir la mer
gepflegt	bien tenu
sauber	bien tenu
tipptopp	bien tenu
gertenschlank	bien tourné
wohlgestaltet	bien tourné
treffend	bien trouvé
gern haben	bien vouloir
behaglich	bien à l'aise
wohnlich	bien à l'aise
gebildet	bien éduqué
brav	bien élevé
galant	bien élevé
gebildet	bien élevé
gefügsam	bien élevé
gehorsam	bien élevé
gentlemanlike	bien élevé
gesittet	bien élevé
manierlich	bien élevé
vornehm	bien élevé
wohlerzogen	bien élevé
geliebt	bien-aimé
inniggeliebt	bien-aimé
verehrt	bien-aimé
Geliebter	bien-aimé
Geliebte	bien-aimée
Sprachfertigkeit	bien-dire
Sprachgewandtheit	bien-dire
Grundbesitz	bien-fonds
Grundeigentum	bien-fonds
Immobilien	bien-fonds
Liegenschaften	bien-fonds
vernünftig	bien-fondé
weise	bien-fondé
Berechtigung	bien-fondé
Gescheitheit	bien-fondé
Rechtmäßigkeit	bien-fondé
Richtigkeit	bien-fondé
Sinn	bien-fondé
Stichhaltigkeit	bien-fondé
konformistisch	bien-pensant
Konformist	bien-pensant
Konformistin	bien-pensante
manierlich	bien-élevé
wohlerzogen	bien-élevé
Behagen	bien-être
Behaglichkeit	bien-être
Bequemlichkeit	bien-être
Gemütlichkeit	bien-être
Wohl	bien-être
Wohlbefinden	bien-être
Wohlbehagen	bien-être
Wohlergehen	bien-être
Wohlfahrt	bien-être
Wohlgefühl	bien-être
Wohligkeit	bien-être
Wohlsein	bien-être
Wohlstand	bien-être
wohliges Gefühl	bien-être
Staatswohl	bien-être public
Wohltätigkeit	bienfaisance
erquickend	bienfaisant
wohltuend	bienfaisant
wohltätig	bienfaisant
Wohltat	bienfait
freigebige Tat	bienfait
wohltuende Wirkung	bienfait
Spender	bienfaiteur
Stifter	bienfaiteur
Wohltäter	bienfaiteur
Spenderin	bienfaitrice
Stifterin	bienfaitrice
Wohltäterin	bienfaitrice
glücklich	bienheureux
selig	bienheureux
alle zwei Jahre stattfindend	biennal
biennal	biennal
zweijährig	biennal
zweijährlich	biennal
Biennale	biennale
Aktiva	biens
Besitzungen	biens
Eigentum	biens
Erbmasse	biens
Vermögen	biens
Bedarfsgüter	biens de consommation
Gebrauchsgüter	biens de consommation
Verbrauchsgüter	biens de consommation
unbeweglicher Besitz	biens immeubles
Besitztum	biens immobiliers
unbeweglicher Besitz	biens immobiliers
bewegliches Eigentum	biens meubles
bewegliches Vermögen	biens meubles
bewegliches Eigentum	biens mobiliers
bewegliches Vermögen	biens personnels
Sachwerte	biens réels
Wirtschaftsgüter	biens économiques
Anstand	bienséance
Schicklichkeit	bienséance
Wohlanständigkeit	bienséance
anständig	bienséant
schicklich	bienséant
wohlanständig	bienséant
bald	bientôt
baldigst	bientôt
demnächst	bientôt
Gemütlichkeit	bienveillance
Geneigtheit	bienveillance
Selbstlosigkeit	bienveillance
Uneigennützigkeit	bienveillance
Wohlwollen	bienveillance
einfühlend	bienveillant
freundlich	bienveillant
taktvoll	bienveillant
wohlwollend	bienveillant
gelegen kommen	bienvenu
willkommen	bienvenu
Willkommen	bienvenue
aus-	biffer
durchstreichen	biffer
streichen	biffer
Streichung	biffure
Zweistärken-	bifocal
bifokal	bifocal
mit zwei Brennpunkten	bifocal
Beefsteak	bifteck
Steak	bifteck
Filetsteak	bifteck d'aloyau
Filetsteak	bifteck dans l'aloyau
Abgabelung	bifurcation
Abzweigung	bifurcation
Gabel	bifurcation
Gabelung	bifurcation
Gablung	bifurcation
Wahlmöglichkeit	bifurcation
Weggabelung	bifurcation
Wegegabel	bifurcation de routes
Wegegabel	bifurcation des routes
abbiegen	bifurquer
sich gabeln	bifurquer
sich teilen	bifurquer
sich verzweigen	bifurquer
überwechseln	bifurquer
Urknall	big bang
Urknall	big-bang
bigamistisch	bigame
in Bigamie lebend	bigame
Bigamist	bigame
Bigamistin	bigame
Bigamie	bigamie
Doppelehe	bigamie
Pomeranze	bigarade
Buntheit	bigarrure
Buntscheckigkeit	bigarrure
bunt	bigarré
buntgemustert	bigarré
buntscheckig	bigarré
gefleckt	bigarré
gemischt	bigarré
gescheckt	bigarré
gesprenkelt	bigarré
heterogen	bigarré
schielend	bigle
schieläugig	bigle
angucken	bigler
schielen	bigler
scheel	bigleux
Quasselstrippe	bigophone
Telefon	bigophone
Strandschnecke	bigorneau
bigott	bigot
frömmelnd	bigot
Betbruder	bigot
Betschwester	bigot
Frömmler	bigot
Betbruderin	bigote
Betschwesterin	bigote
Frömmlerin	bigote
Bigotterie	bigoterie
Frömmelei	bigoterie
Lockenwickler	bigoudi
Donnerwetter	bigre
Donnerwetter!	bigre
verdammt	bigrement
verflixt	bigrement
verteufelt	bigrement
vierzehntägig	bihebdomadaire
zweimal wöchentlich erscheinend	bihebdomadaire
Juwel	bijou
Kleinod	bijou
Schatz	bijou
Schmuckstück	bijou
Erbstück	bijou de famille
Bijouterie	bijouterie
Juweliergeschäft	bijouterie
Schmuck	bijouterie
Schmuckgegenstände	bijouterie
Schmuckgeschäft	bijouterie
Schmuckindustrie	bijouterie
Schmuckwaren	bijouterie
Schmuckwarengeschäft	bijouterie
Schmuckwarenhandel	bijouterie
Schmuckwarenindustrie	bijouterie
Juwelier	bijoutier
Schmuckhersteller	bijoutier
Schmuckwarenhersteller	bijoutier
Schmuck	bijoux
Schmucksachen	bijoux
Bikini	bikini
bilabial	bilabiale
Bimetall	bilame
Bimetallstreifen	bilame
Abschluß	bilan
Bestandsaufnahme	bilan
Bilanz	bilan
Endergebnis	bilan
Endergebnisse	bilan
Ergebnis	bilan
Fazit	bilan
Gesamtergebnis	bilan
Schlußabrechnung	bilan
Generaluntersuchung	bilan de santé
Verlustbilanz	bilan déficitaire
Steuerbilanz	bilan fiscal
Wochenbilanz	bilan hebdomadaire
bilateral	bilatéral
doppelreihig	bilatéral
doppelseitig	bilatéral
zweiseitig	bilatéral
Galle	bile
Gallenflüssigkeit	bile
Bilharziose	bilharziose
Gallen	biliaire
Gallen-	biliaire
gallehaltig	bilieux
gallig	bilieux
gelb	bilieux
gelblich	bilieux
zweisprachig	bilingue
Bilinguismus	bilinguisme
Zweisprachigkeit	bilinguisme
Billard	billard
Billardspiel	billard
Ball	bille
Gesicht	bille
Holzblock	bille
Holzklotz	bille
Klicker	bille
Klotz	bille
Kugel	bille
Murmel	bille
block	bille
Eichenblock	bille de chêne
Stahlkugel	bille en acier
Briefchen	billet
Eintrittskarte	billet
Fahrkarte	billet
Fahrschein	billet
Geldschein	billet
Karte	billet
Los	billet
Schein	billet
Wechsel	billet
kurze Mitteilung	billet
Flugkarte	billet d'avion
Flugschein	billet d'avion
Flugticket	billet d'avion
Eintrittskarte	billet d'entrée
Banknote	billet de banque
Geldschein	billet de banque
Schein	billet de banque
Umsteigefahrschein	billet de correspondance
Umsteigekarte	billet de correspondance
Umsteigkarte	billet de correspondance
Freikarte	billet de faveur
Freilos	billet de loterie gratuit
Tausender	billet de mille
Theaterbillett	billet de théâtre
Theaterkarte	billet de théâtre
Wochenendkarte	billet de week-end
Treffer	billet gagnant
Freifahrschein	billet gratuit
Freikarte	billet gratuit
Touristenkarte	billet touristique
Tageskarte	billet valable pour la journée
Schuldschein	billet à ordre
ermäßigte Fahrkarte	billet à prix réduit
Papiergeld	billets
Papiergeld	billets de banque
Geldautomat	billetterie
Geldautomat	billetterie automatique
hohles Geschwätz	billevesées
leeres Geschwätz	billevesées
ungereimtes Zeug	billevesées
Billion	billion
Hackklotz	billot
Hauklotz	billot
Holzblock	billot
Holzklotz	billot
Metallblock	billot
Richtblock	billot
monatlich zweimal erscheinend	bimensuel
monatlich zweimal stattfindend	bimensuel
vierzehntägig	bimensuel
alle zwei Monate erscheinend	bimestriel
alle zwei Monate stattfindend	bimestriel
zweimonatlich  erscheinend	bimestriel
zweimonatlich stattfindend	bimestriel
zweitausendjährig	bimillénaire
Zweitausendjahrfeier	bimillénaire
zweimotorig	bimoteur
zweimotorige Maschine	bimoteur
bimetallisch	bimétallique
Bimetallismus	bimétallisme
Doppelwährung	bimétallisme
Hacken	binage
binar	binaire
binär	binaire
dual	binaire
hacken	biner
Gesicht	binette
Hacke	binette
Visage	binette
Hackmaschine	bineuse
peng	bing
peng!	bing
Dudelsack	biniou
bretonischer Dudelsack	biniou
Kneifer	binocle
Zwicker	binocle
beidäugig	binoculaire
binokular	binoculaire
doppeläugig	binoculaire
Feldstecher	binoculaires
Fernglas	binoculaires
Binomial-	binomial
binomisch	binomial
Binom	binôme
Bio	bio
Bio-	bio
Biotreibstoff	biocarburant
Biochemie	biochimie
biochemisch	biochimique
Biochemiker	biochimiste
Biochemikerin	biochimiste
Biokybernetik	biocybernétique
Biozönose	biocénose
biologisch abbaubar	biodégradable
umweltfreundlich	biodégradable
zersetzbar	biodégradable
Biograph	biographe
Biographin	biographe
Biographie	biographie
Lebensbeschreibung	biographie
Lebensgeschichte	biographie
biographisch	biographique
biogenetisch	biogénétique
Biologie	biologie
Bio-	biologique
biologisch	biologique
biologisch	biologiquement
Biologe	biologiste
Biologin	biologiste
Biomasse	biomasse
biomedizinisch	biomédical
Biogas	biométhane
Biometrie	biométrie
Biometrik	biométrie
bionisch	bionique
Bionik	bionique
Biontologie	biontologie
Biophysik	biophysique
Biopsie	biopsie
Biorhythmus	biorythme
Biosatellit	biosatellite
Biosphäre	biosphère
Biotechnik	biotechnologie
Biotechnologie	biotechnologie
Biotop	biotope
Dioxid	bioxyde
Dioxyd	bioxyde
Dioxyd Dioxid	bioxyde
Zirkoniumdioxid	bioxyde de zirconium
schrilles Signal	bip
Piepen	bip-bip
Piepser	bip-bip
Piepton	bip-bip
schrilles Signal	bip-bip
Zweiparteiensystem	bipartisme
Zweier	bipartite
Zweimächte	bipartite
Zweiparteien	bipartite
zweisitzig	biplace
Doppelsitzer	biplace
Doppeldecker	biplan
bipolar	bipolaire
zweipolig	bipolaire
Polarisierung	bipolarisation
Bipolarität	bipolarité
Zweipoligkeit	bipolarité
bipedisch	bipède
zweibeinig	bipède
zweifüßig	bipède
Bipede	bipède
Zweifüßer	bipède
Geiß	bique
Ziege	bique
Schäfchen	biquet
Zickel	biquet
Zicklein	biquet
Schäfchen	biquette
Ziege	biquette
birmanisch	birman
Birmane	birman
Burmese	birman
Birmanin	birmane
Burmesin	birmane
zweistrahlig	biréacteur
zweistrahlige Maschine	biréacteur
bis	bis
noch einmal	bis
wiederholen	bis
graubraun	bis
Dakapo	bis
Wiederholung	bis
alle zwei Jahre stattfindend	bisannuel
zweijährig	bisannuel
zweijährlich stattfindend	bisannuel
Urgroßvater	bisaïeul
Urgroßmutter	bisaïeule
Verstimmung	bisbille
Zank	bisbille
kleiner Streit	bisbille
bizarr	biscornu
verdreht	biscornu
verschroben	biscornu
wunderlich	biscornu
Zwieback	biscotte
Biskuit	biscuit
Biskuitporzellan	biscuit
Keks	biscuit
porzellan	biscuit
Biskuit	biscuit de Savoie
Biskuitkuchen	biscuit de Savoie
Sandkuchen	biscuit de Savoie
Schiffszwieback	biscuit de marin
Keksfabrik	biscuiterie
Keksherstellung	biscuiterie
Busserl	bise
Kuß auf die Wange	bise
Küßchen auf die Wange	bise
flüchtiger Kuß	bise
kalter Nordostwind	bise
kalter Nordwind	bise
Fase	biseau
Meißel mit schräger Schnittfläche	biseau
Schrägkante	biseau
abgeschrägte Kante	biseau
Abschrägung	biseautage
abfasen	biseauter
abkanten	biseauter
abschrägen	biseauter
facettieren	biseauter
schrägschleifen	biseauter
zinken	biseauter
abgeschrägt	biseauté
umfärben	biser
Bisexualität	bisexualité
Doppelgeschlechtigkeit	bisexualité
bisexuell	bisexuel
doppelgeschlechtig	bisexuel
doppelgeschlechtig	bisexué
Bismut	bismuth
Wismut	bismuth
Wismutpräparat	bismuth
Wismutsalz	bismuth
Bison	bison
Büffel	bison
Wisent	bison
Bussi	bisou
fuchsig werden	bisquer
hochgehen	bisquer
sich ärgern	bisquer
wild werden	bisquer
Winkelhalbierende	bissectrice
Dakapo bewegen	bisser
zu einem Dakapo bewegen	bisser
zu einer Wiederholung  bewegen	bisser
zu einer Wiederholung bewegen	bisser
Bisexualität	bissexualité
Doppelgeschlechtigkeit	bissexualité
Zweigeschlechtigkeit	bissexualité
bisexuell	bissexuel
doppelgeschlechtig	bissexué
zweigeschlechtig	bissexué
Bistouri	bistouri
Skalpell	bistouri
braun	bistre
dunkelbraun	bistre
Bister	bistre
Braun	bistre
Dunkelbraun	bistre
Bar	bistro
Bistro	bistro
Kneipe	bistro
Stehbierhalle	bistro
Wirtshaus	bistro
Stehbierhalle	bistro-brasserie
Bar	bistrot
Kneipe	bistrot
Taverne	bistrot
Wirtshaus	bistrot
Stammkneipe	bistrot habituel
Stammlokal	bistrot habituel
Kneipenwirt	bistrotier
Kneipier	bistrotier
dunkel	bistré
dunkelfarbig	bistré
dunkelhäutig	bistré
Binärzeichen	bit
Bit	bit
Zero-Bit	bit de zéro
Pimmel	bite
P Pimmel	bitte
Pimmel	bitte
Poller	bitte
Riemen	bitte
Schwanz	bitte
Asphalt	bitume
Bitumen	bitume
bituminieren	bitumer
bituminös	bitumineux
vollgetankt	bituré
bivalent	bivalent
zweiwertig	bivalent
Biwak	bivouac
biwakieren	bivouaquer
zelten	bivouaquer
absonderlich	bizarre
bizarr	bizarre
drollig	bizarre
eigenartig	bizarre
eigenbrötlerisch	bizarre
exzentrisch	bizarre
komisch	bizarre
merkwürdig	bizarre
sehenswert	bizarre
seltsam	bizarre
sonderbar	bizarre
sonderlich	bizarre
unberechenbar	bizarre
ungewöhnlich	bizarre
verdächtig	bizarre
verschroben	bizarre
verstiegen	bizarre
weltfremd	bizarre
wetterwendisch	bizarre
wunderlich	bizarre
abenteuerlich	bizarrement
eigenartig	bizarrement
eigenartigerweise	bizarrement
exzentrisch	bizarrement
seltsam	bizarrement
seltsamerweise	bizarrement
Absonderlichkeit	bizarrerie
Bizarrerie	bizarrerie
Eigenartigkeit	bizarrerie
Eigenbrötelei	bizarrerie
Merkwürdigkeit	bizarrerie
Schrulle	bizarrerie
Seltsamkeit	bizarrerie
Sonderbarkeit	bizarrerie
Ungewöhnlichkeit	bizarrerie
Verschrobenheit	bizarrerie
Wunderlichkeit	bizarrerie
Student im ersten Studienjahr	bizut
Student im ersten Studienjahr	bizuth
Bier	bière
Sarg	bière
Ale	bière anglaise
englisches Bier	bière anglaise
Weißbier	bière blonde
Bockbier	bière brune
Stout	bière brune forte
Warmbier	bière chaude
Weißbier	bière claire
Malzbier	bière de malt
Flaschenbier	bière en bouteille
Flaschenbier	bière en bouteilles
Faßbier	bière pression
Faßbier	bière à la pression
Schankbier	bière à la pression
belorussisch	biélorusse
weißrussisch	biélorusse
Belorusse	biélorusse
Belorussin	biélorusse
Weißrusse	biélorusse
Blabla	blabla
Gequassel	blabla
Gequatsche	blabla
Gerede	blabla
dummes Gerede	blabla
leeres  Gerede	blabla
Blabla	blablabla
Gequassel	blablabla
Gequatsche	blablabla
Gerede	blablabla
Unsinn	blablabla
dummes Gerede	blablabla
leeres  Gerede	blablabla
Blackjack	black jack
Blackout	black-out
Verdunkelung	black-out
Verdunklung	black-out
Gegenstimmen	blackboulage
stimmen gegen	blackbouler
blaß	blafard
bleich	blafard
fahl	blafard
totenblaß	blafard
totenähnlich	blafard
Anekdote	blague
Beutel	blague
Dummheit	blague
Possen	blague
Schabernack	blague
Scherz	blague
Scherzwort	blague
Schnitzer	blague
Schnurre	blague
Schwank	blague
Spaß	blague
Streich	blague
Tabaksbeutel	blague
Ulk	blague
Witz	blague
ernsthaft	blague à part
ganz im Ernst	blague à part
Scherze machen	blaguer
Spaß machen	blaguer
Späße machen	blaguer
scherzen	blaguer
spaßen	blaguer
spotten	blaguer
verspotten	blaguer
Spaß	blaguer quelqu'un
Witze machen	blaguer quelqu'un
aufziehen	blaguer quelqu'un
jemanden hänseln	blaguer quelqu'un
scherzen	blaguer quelqu'un
spaßen	blaguer quelqu'un
Unsinn	blagues
spöttisch	blagueur
Spaßmacher	blagueur
Spaßvogel	blagueur
Witzbold	blagueur
Spaßmacherin	blagueuse
Gesichtserker	blair
Riechkolben	blair
Zinken	blair
Dachs	blaireau
