EFTA	﻿A.E.L.E.
bien	délicieusement
deleitablemente	délicieusement
deleitosamente	délicieusement
deliciosamente	délicieusement
encantador	délicieusement
gustosamente	délicieusement
rechupete	délicieux
apetitoso	délicieux
atractivo	délicieux
atrayente	délicieux
bueno	délicieux
deleitable	délicieux
deleitoso	délicieux
delicioso	délicieux
encantador	délicieux
gustoso	délicieux
rico	délicieux
riquísimo	délicieux
sabroso	délicieux
delictivo	délictueux
desatar	délier
desligar	délier
despegar	délier
desprender	délier
dispensar	délier
eximir	délier
exonerar	délier
relevar	délier
soltar	délier
delimitación	délimitation
acotar	délimiter
alindar	délimiter
alinderar	délimiter
contornear	délimiter
delimitar	délimiter
demarcar	délimiter
deslindar	délimiter
limitar	délimiter
criminalidad	délinquance
delincuencia	délinquance
criminal	délinquant
delictivo	délinquant
delincuente	délinquant
maleante	délinquant
criminal	délinquant
delincuente	délinquant
malhechor	délinquant
criminal	délinquante
delincuente	délinquante
maleante	délinquante
contorno	délinéament
perfil	délinéament
decadente	déliquescent
delicuescente	déliquescent
chalado	délirant
delirante	délirant
tonto de capirote	délirant
alienación	délire
arrobamiento	délire
arrobo	délire
delirio	délire
demencia	délire
desvarío	délire
enajenación mental	délire
insania	délire
locura	délire
trance	délire
éxtasis	délire
alucinar	délirer
delirar	délirer
desvariar	délirer
crimen	délit
delito	délit
infracción	délit
hender	déliter
partir	déliter
alivio	délivrance
alumbramiento	délivrance
concesión	délivrance
desahogo	délivrance
entrega	délivrance
expedición	délivrance
liberación	délivrance
parto	délivrance
redención	délivrance
rescate	délivrance
salvación	délivrance
dar	délivrer
dispensar	délivrer
distribuir	délivrer
entregar	délivrer
eximir	délivrer
exonerar	délivrer
expedir	délivrer
extender	délivrer
hacer entrega de	délivrer
liberar	délivrer
libertar	délivrer
librar	délivrer
relevar	délivrer
agudo	délié
delgado	délié
desatado	délié
esbelto	délié
fino	délié
inteligente	délié
menudo	délié
suelto	délié
sutil	délié
ágil	délié
ahuyentar	déloger
desalojar	déloger
echar	déloger
echar afuera	déloger
espantar	déloger
desleal	déloyal
falso	déloyal
infiel	déloyal
pérfido	déloyal
traicionero	déloyal
traidor	déloyal
deslealtad	déloyauté
falta de honradez	déloyauté
insinceridad	déloyauté
Diluvio	déluge
avalancha	déluge
chaparrón	déluge
diluvio	déluge
granizada	déluge
raudal	déluge
torrente	déluge
avispado	déluré
descarado	déluré
desvergonzado	déluré
fresco	déluré
impertinente	déluré
insolente	déluré
suelto	déluré
delegación	délégation
diputación	délégation
mandato	délégation
comisionar	déléguer
delegar	déléguer
diputar	déléguer
legar	déléguer
apoderar	déléguer ses pouvoirs à
delegado	délégué
apoderado	délégué
delegado	délégué
enlace	délégué
miembro des Congreso	délégué
parlamentario	délégué
plenipotenciario	délégué
poderhabiente	délégué
delegada	déléguée
poderhabiente	déléguée
desventajoso	délétère
nocivo	délétère
perjudicial	délétère
ponzoñoso	délétère
tóxico	délétère
venenoso	délétère
demagogia	démagogie
demagógico	démagogique
demagoga	démagogue
demagogo	démagogue
manipulador	démagogue
comezón	démangeaison
cosquilleo	démangeaison
ganas	démangeaison
hormigueo	démangeaison
picazón	démangeaison
picor	démangeaison
prurito	démangeaison
quemazón	démangeaison
dar picazón	démanger
picar	démanger
tener ganas	démanger
desarticular	démanteler
desmantelar	démanteler
desbaratar	démantibuler
destrozar	démantibuler
romper	démantibuler
destartalado	démantibulé
desmantelamiento	démantèlement
desmontaje	démantèlement
desmonte	démantèlement
desmaquillador	démaquillant
desmaquillante	démaquillant
demaquillador	démaquillant
desmaquillador	démaquillant
desmaquillante	démaquillant
desmaquillar	démaquiller
desmaquillarse	démaquiller
demarcación	démarcation
actitud	démarche
andadura	démarche
andar	démarche
andares	démarche
avance	démarche
diligencia	démarche
enfoque	démarche
gestión	démarche
manera de andar	démarche
paso	démarche
postura	démarche
progreso	démarche
tratativas	démarche
trámite	démarche
buhonero	démarcheur
vendedor	démarcheur
vendedor ambulante	démarcheur
vendedora	démarcheuse
rebaja	démarque
cambiar la marca de un artículo para venderlo más barato	démarquer
desmarcar	démarquer
desmarcarse	démarquer
plagiar	démarquer
quitar la marca	démarquer
quitar la marca de	démarquer
quitar la marca de un artículo para venderlo más barato	démarquer
rebajar	démarquer
arranque	démarrage
puesta en marcha	démarrage
acelerar	démarrer
arrancar	démarrer
comenzar	démarrer
empezar	démarrer
emprender	démarrer
iniciar	démarrer
iniciarse	démarrer
pisar el acelerador	démarrer
poner en marcha	démarrer
principiar	démarrer
zarpar	démarrer
arrancar a toda prisa	démarrer sur les chapeaux de roues
arranque	démarreur
descubrir	démasquer
desenmascarar	démasquer
desarticulación	démembrement
desmantelar	démembrer
desmembrar	démembrer
alienación	démence
demencia	démence
enajenación mental	démence
insania	démence
locura	démence
ajetrearse	démener
bregar	démener
debatirse	démener
forcejear	démener
alienado	dément
alucinante	dément
demente	dément
enajenado mental	dément
enfermo mental	dément
insano	dément
loco	dément
demente	dément
demente	démente
denegación	démenti
desmentida	démenti
mentís	démenti
negación	démenti
absurdo	démentiel
alienado	démentiel
demencial	démentiel
demente	démentiel
disparatado	démentiel
enajenado mental	démentiel
enfermo mental	démentiel
insano	démentiel
insensato	démentiel
loco	démentiel
contradecir	démentir
desautorizar	démentir
desmentir	démentir
negar	démentir
renegar	démentir
renegar de	démentir
desmesura	démesure
desaforado	démesuré
descomunal	démesuré
desmedido	démesuré
desmesurado	démesuré
excesivo	démesuré
ilimitado	démesuré
sin límites	démesuré
desmedidamente	démesurément
desmesuradamente	démesurément
excesivamente	démesurément
ilimitadamente	démesurément
descoyuntar	démettre
descoyuntarse	démettre
destituir	démettre
dimitir	démettre
dislocar	démettre
dislocarse	démettre
torcer	démettre
cesar	démettre de ses fonctions
destituir de sus funciones	démettre de ses fonctions
desalojar	démeubler
desocupar	démeubler
evacuar	démeubler
vaciar	démeubler
desmilitarizar	démilitariser
retirada de minas	déminage
retirar las minas de	déminer
despido	démission
destitución	démission
dimisión	démission
renuncia	démission
dimisionario	démissionnaire
saliente	démissionnaire
dimisionaria	démissionnaire
dimisionario	démissionnaire
cesar	démissionner
dimitir	démissionner
retirarse	démissionner
desmovilizar	démobiliser
democrático	démocrate
demócrata	démocrate
demócrata	démocrate
democratacristiano	démocrate-chrétien
democratacristiano	démocrate-chrétien
democratacristiana	démocrate-chrétienne
democracia	démocratie
democrático	démocratique
democráticamente	démocratiquement
democratización	démocratisation
democratizar	démocratiser
antediluviano	démodé
anticuado	démodé
pasado de moda	démodé
demografía	démographie
demográfico	démographique
arruinar	démolir
demoler	démolir
derribar	démolir
derruir	démolir
destrozar	démolir
destruir	démolir
echar abajo	démolir
hundir	démolir
moler a palos	démolir
reventar	démolir
romper	démolir
demoledor	démolisseur
cascote	démolition
demolición	démolition
derribo	démolition
escombros	démolition
demonio	démon
diablillo	démon
diablo	démon
demoniaco	démoniaque
demoníaco	démoniaque
endemoniado	démoniaque
demoníaca	démoniaque
demoníaco	démoniaque
demostrador	démonstrateur
comunicable	démonstratif
comunicativo	démonstratif
demostrativo	démonstratif
muy expresivo	démonstratif
demostrativo	démonstratif
argumentación	démonstration
demostración	démonstration
discurso	démonstration
disquisición	démonstration
expresión	démonstration
manifestación	démonstration
razonamiento	démonstration
comunicable	démonstrativement
comunicativo	démonstrativement
demostrativamente	démonstrativement
demostradora	démonstratrice
desmontable	démontable
desarme	démontage
desmontaje	démontage
desmonte	démontage
desmontable	démonte-pneu
desactivar	démonter
desarmar	démonter
desarticular	démonter
desconcertar	démonter
desmantelar	démonter
desmontar	démonter
desmoralizar	démonter
desmoronar	démonter
levantar	démonter
demostrable	démontrable
probable	démontrable
acreditar	démontrer
arrojar	démontrer
demostrar	démontrer
bravo	démonté
embravecido	démonté
impetuoso	démonté
desacreditar	démonétiser
desprestigiar	démonétiser
ir en descrédito de	démonétiser
desmoralizador	démoralisant
desmoralización	démoralisation
desinflar	démoraliser
desmoralizar	démoraliser
desanimado	démoralisé
desalentar	démotiver
desanimar	démotiver
descorazonar	démotiver
desmotivar	démotiver
desmoldar	démouler
vaciar	démouler
desmultiplicación	démultiplication
aminorar la velocidad	démultiplier
disminuir la marcha	démultiplier
reducir la marcha	démultiplier
reducir la velocidad	démultiplier
despojar	démunir
despojarse	démunir
desproveer	démunir
despojar de	démunir de
privar	démunir de
privar de	démunir de
quitar	démunir de
desmitificar	démystifier
desmitificar	démythifier
desmantelar	démâter
cambio de casa	déménagement
cambio de domicilio	déménagement
desalojo	déménagement
mudanza	déménagement
traslado	déménagement
barbarizar	déménager
bobear	déménager
decir bobadas	déménager
decir disparates	déménager
decir tonterías	déménager
delirar	déménager
desbarrar	déménager
desvariar	déménager
disparatar	déménager
mudar	déménager
mudar de casa	déménager
mudarse	déménager
mudarse de casa	déménager
prevaricar	déménager
soltar disparates	déménager
trasladar	déménager
empresa de mudanzas	déménageur
mozo de mudanzas	déménageur
defecto	démérite
pero	démérite
tacha	démérite
descifrar	démêler
desembrollar	démêler
desenmarañar	démêler
desenredar	démêler
desenredarse	démêler
deshacer	démêler
altercación	démêlé
altercado	démêlé
complicación	démêlé
disputa	démêlé
lío	démêlé
riña	démêlé
disminución de la natalidad	dénatalité
desnacionalizar	dénationaliser
adulterar	dénaturer
alterar	dénaturer
deformar	dénaturer
desnaturalizar	dénaturer
desvirtuar	dénaturer
distorsionar	dénaturer
falsear	dénaturer
mutilar	dénaturer
torcer	dénaturer
alterado	dénaturé
depravado	dénaturé
desnaturalizado	dénaturé
malvado	dénaturé
perverso	dénaturé
limpieza de la nieve	déneigement
espabilar	déniaiser
dar con	dénicher
descubrir	dénicher
pescar	dénicher
sacar	dénicher
topar	dénicher
denegar	dénier
negar	dénier
prohibir	dénier
denigrante	dénigrant
denigración	dénigrement
denigrar	dénigrer
difamar	dénigrer
desnivelar	déniveler
desnivel	dénivellation
pendiente	dénivellation
enumeración	dénombrement
recuento	dénombrement
censar	dénombrer
contar	dénombrer
numerar	dénombrer
denominador	dénominateur
denominación	dénomination
designación	dénomination
apellidar	dénommer
denominar	dénommer
hacer mención de	dénommer
llamar	dénommer
mencionar	dénommer
poner de nombre	dénommer
poner por nombre	dénommer
anular	dénoncer
dar el chivatazo	dénoncer
darse de baja	dénoncer
delatar	dénoncer
denunciar	dénoncer
desahuciar	dénoncer
descubrir	dénoncer
despedir	dénoncer
entregar	dénoncer
ir con el soplo	dénoncer
rescindir	dénoncer
revelar	dénoncer
denunciante	dénonciateur
acusetas	dénonciateur
acusete	dénonciateur
acusón	dénonciateur
chivato	dénonciateur
delator	dénonciateur
soplón	dénonciateur
acriminación	dénonciation
acusación	dénonciation
acuse	dénonciation
anulación	dénonciation
denuncia	dénonciation
querella	dénonciation
rescisión	dénonciation
acusetas	dénonciatrice
acusete	dénonciatrice
denunciante	dénonciatrice
denotar	dénoter
desenlace	dénouement
aclarar	dénouer
desabotonar	dénouer
desabrochar	dénouer
desanudar	dénouer
desatar	dénouer
desenmarañar	dénouer
desenredar	dénouer
deshuesar	dénoyauter
despepitar	dénoyauter
dejar al descubierto	dénuder
descarnar	dénuder
desnudar	dénuder
pelar	dénuder
calvo	dénudé
deprovisto de vegetación	dénudé
deshojado	dénudé
desnudo	dénudé
pelado	dénudé
raso	dénudé
sin hojas	dénudé
sin vegetación	dénudé
árido	dénudé
carencia	dénuement
falta	dénuement
indigencia	dénuement
desnutrición	dénutrition
desprovisto	dénué
falto de	dénué de
privado de	dénué de
denegación	dénégation
negación	dénégation
negativa	dénégation
desodorante	déodorant
desodorante	déodorant
roll-on	déodorant à bille
deontología	déontologie
arreglo	dépannage
reparación	dépannage
arreglar	dépanner
componer	dépanner
echar una mano	dépanner
echar una mano a	dépanner
refaccionar	dépanner
reparar	dépanner
sacar de un apuro	dépanner
mecánico	dépanneur
reparador	dépanneur
técnico	dépanneur
camión-grúa	dépanneuse
coche-grúa	dépanneuse
grúa	dépanneuse
mecánica	dépanneuse
técnica	dépanneuse
desembalar	dépaqueter
desempaquetar	dépaqueter
desenvolver	dépaqueter
deshacer	dépaqueter
desparasitar	déparasiter
desparejar	dépareiller
deficiente	dépareillé
desparejado	dépareillé
dispar	dépareillé
incompleto	dépareillé
deslucir	déparer
estropear	déparer ces constructions
comienzo	départ
despido	départ
ida	départ
marcha	départ
partida	départ
principio	départ
punto	départ
punto de partida	départ
salida	départ
desempatar	départager
dividir	départager
terciar	départager
departamento	département
departamento ministerial	département
división territorial en Francia	département
provincia	département
región	département
sección	département
departamento	département d'outre-mer
relativo a la división territorial en Francia	départemental
adjudicar	départir
asignar	départir
conceder	départir
conferir	départir
otorgar	départir
bordillo	dépassant
orla	dépassant
ribete	dépassant
adelantamiento	dépassement
rebasamiento	dépassement
adelantar	dépasser
asomar	dépasser
aventajar	dépasser
dejar atrás	dépasser
dejar atrás a	dépasser
desbordar	dépasser
efectuar adelantamiento	dépasser
exceder	dépasser
exceder a	dépasser
pasar	dépasser
rebasar	dépasser
sacar	dépasser
sobrepasar	dépasser
sobresalir	dépasser
superar	dépasser
traspasar	dépasser
escapar al entendimiento	dépasser l'entendement
desmesurar	dépasser la mesure
desaforarse	dépasser les bornes
desmadrarse	dépasser les bornes
desmesurar	dépasser les bornes
exceder	dépasser les bornes
propasarse	dépasser les bornes
desapasionar	dépassionner
anticuado	dépassé
antiguo	dépassé
caído en desuso	dépassé
desbordado	dépassé
desusado	dépassé
en desuso	dépassé
fósil	dépassé
obsoleto	dépassé
pasado de moda	dépassé
trasnochado	dépassé
cambio de aires	dépaysement
despiste	dépaysement
extrañamiento	dépaysement
abrumar	dépayser
aturdir	dépayser
azarar	dépayser
azorar	dépayser
cambiar de ambiente	dépayser
confundir	dépayser
desconcertar	dépayser
desorientar	dépayser
despistar	dépayser
equivocar	dépayser
extrañar	dépayser
perturbar	dépayser
turbar	dépayser
incómodo	dépaysé
molesto	dépaysé
cuartear	dépecer
descuartizar	dépecer
despedazar	dépecer
describir	dépeindre
pintar	dépeindre
retratar	dépeindre
andrajoso	dépenaillé
desastrado	dépenaillé
harapiento	dépenaillé
accesoria	dépendance
adicción	dépendance
anejo	dépendance
anexo	dépendance
dependencia	dépendance
servidumbre	dépendance
toxicomanía	dépendance
vicio	dépendance
ludopatía	dépendance aux jeux
adicto	dépendant
dependiente	dépendant
depender	dépendre
descolgar	dépendre
depender de	dépendre de
ser dependiente de	dépendre de
costas	dépens
expensas	dépens
desembolso	dépense
gasto	dépense
gastos	dépense
cansarse	dépenser
consumir	dépenser
dedicar	dépenser
desembolsar	dépenser
desvivirse	dépenser
gastar	dépenser
imprevisto	dépenses imprévues
derrochador	dépensier
despilfarrador	dépensier
expendedor	dépensier
generoso	dépensier
liberal	dépensier
manirroto	dépensier
pródigo	dépensier
pérdida	déperdition
despersonalizar	dépersonnaliser
despoblación	dépeuplement
deshabitar	dépeupler
despoblar	dépeupler
deshabitado	dépeuplé
desierto	dépeuplé
despoblado	dépeuplé
inhabitado	dépeuplé
despiece	dépeçage
desfase	déphasage
desfasar	déphaser
desfasado	déphasé
desembrollar	dépiauter
desenmarañar	dépiauter
desenredar	dépiauter
desollar	dépiauter
despellejar	dépiauter
mirar con lupa	dépiauter
pelar	dépiauter
quitar la piel	dépiauter
depilación	dépilation
depilatorio	dépilatoire
depilatoria	dépilatoire
depilatorio	dépilatoire
depilar	dépiler
replantar	dépiquer
transplantar	dépiquer
transponer	dépiquer
trasplantar	dépiquer
trillar	dépiquer
busca	dépistage
buscada	dépistage
búsqueda	dépistage
detección	dépistage
diagnóstico	dépistage
pesquisa	dépistage
reconocimiento	dépistage
dar con el paradero de	dépister
descubrir el rastro	dépister
descubrir el rastro de	dépister
despistar	dépister
detectar	dépister
diagnosticar	dépister
encontrar la pista de	dépister
localizar	dépister
rastrear	dépister
seguir la pista de	dépister
despecho	dépit
mosqueo	dépit
rencor	dépit
resentimiento	dépit
injuriar	dépiter
insultar	dépiter
ofender	dépiter
disgustado	dépité
ofendido	dépité
sentido	dépité
arrastre	déplacement
cambio de sitio	déplacement
desplazamiento	déplacement
transferencia	déplacement
traslación	déplacement
traslado	déplacement
viaje	déplacement
cambiar de lugar	déplacer
cambiar de sitio	déplacer
correr	déplacer
descolocar	déplacer
desplazar	déplacer
desplazarse	déplacer
desviar	déplacer
mover	déplacer
remover	déplacer
transferir	déplacer
transponer	déplacer
trasladar	déplacer
desplazado	déplacé
fuera de lugar	déplacé
inapropiado	déplacé
inconveniente	déplacé
inoportuno	déplacé
dar asco	déplaire
dar cien patadas	déplaire
desagradar	déplaire
disgustar	déplaire
no agradar	déplaire
no gustar	déplaire
repugnar	déplaire
descontentar	déplaire à qqn
antipático	déplaisant
desagradable	déplaisant
enojoso	déplaisant
desagrado	déplaisir
descontento	déplaisir
disgusto	déplaisir
enojo	déplaisir
grima	déplaisir
replantar	déplanter
transplantar	déplanter
transponer	déplanter
trasplantar	déplanter
folleto	dépliant
tríptico	dépliant
abrir	déplier
desdoblar	déplier
desplegar	déplier
desplegarse	déplier
exponer	déplier
extender	déplier
aparato	déploiement
despliegue	déploiement
ostentación	déploiement
pompa	déploiement
deplorable	déplorable
digno de lástima	déplorable
lamentable	déplorable
lastimero	déplorable
lastimoso	déplorable
miserable	déplorable
penoso	déplorable
deplorablemente	déplorablement
lamentablemente	déplorablement
lastimeramente	déplorablement
lastimosamente	déplorablement
miserablemente	déplorablement
afligirse con	déplorer
afligirse por	déplorer
arrepentirse	déplorer
arrepentirse de	déplorer
deplorar	déplorer
doler	déplorer
lamentar	déplorer
llorar de	déplorer
llorar por	déplorer
sentir	déplorer
abrir	déployer
dar muestra de	déployer
desarrollar	déployer
desdoblar	déployer
desplegar	déployer
extender	déployer
calvo	déplumé
pelado	déplumé
despechugado	dépoitraillé
esmerilado	dépoli
mate	dépoli
despolitizar	dépolitiser
deportación	déportation
deportar	déporter
desviar	déporter
deportado	déporté
deportada	déportée
depositante	déposant
imponente	déposant
testigo	déposant
depositante	déposante
imponente	déposante
testigo	déposante
asentarse	déposer
atestiguar	déposer
colocar	déposer
dar testimonio	déposer
declarar	déposer
dejar	déposer
deponer	déposer
depositar	déposer
depositarse	déposer
destituir	déposer
formar poso	déposer
imponer	déposer
ingresar	déposer
meter	déposer
poner	déposer
presentar	déposer
prestar declaración	déposer
registrar	déposer
sedimentar	déposer
soltar	déposer
testificar	déposer
testimoniar	déposer
verter	déposer
presentar una denuncia	déposer une plainte
reclamar	déposer une réclamation
concesionario	dépositaire
depositaria	dépositaire
depositario	dépositaire
afidávit	déposition
atestación	déposition
atestiguación	déposition
atestiguamiento	déposition
auténtica	déposition
declaración	déposition
deposición	déposition
testimonio	déposition
desposeer	déposséder
expropiar	déposséder
patentado	déposé
registrado	déposé
replantar	dépoter
transplantar	dépoter
transponer	dépoter
trasplantar	dépoter
basural	dépotoir
basurero	dépotoir
cementerio	dépotoir
leonera	dépotoir
planta	dépotoir
planta de transformación de residuos	dépotoir
vertedero	dépotoir
vertedero de basuras	dépotoir
cenizas	dépouille
despojo	dépouille
piel	dépouille
restos	dépouille
restos mortales	dépouille
cenizas	dépouille mortelle
despojo	dépouille mortelle
restos	dépouille mortelle
austeridad	dépouillement
despojo	dépouillement
escrutinio	dépouillement
examen	dépouillement
escrutinio	dépouillement du scrutin
analizar	dépouiller
cambiar la piel	dépouiller
desembarazarse	dépouiller
desembrollar	dépouiller
desenmarañar	dépouiller
desenredar	dépouiller
desnudar	dépouiller
desollar	dépouiller
despellejar	dépouiller
despojar	dépouiller
desposeerse	dépouiller
escrutar	dépouiller
examinar	dépouiller
hacer el escrutinio	dépouiller
librarse	dépouiller
pelar	dépouiller
quitar la piel	dépouiller
despojar de	dépouiller de
privar	dépouiller de
privar de	dépouiller de
quitar	dépouiller de
escrutar	dépouiller un scrutin
calvo	dépouillé
deshojado	dépouillé
desnudo	dépouillé
pelado	dépouillé
raso	dépouillé
sin hojas	dépouillé
sobrio	dépouillé
árido	dépouillé
falto de	dépouillé de
privado de	dépouillé de
carente	dépourvu
desprevenido	dépourvu
desprovisto	dépourvu
falto	dépourvu
falto de	dépourvu de
privado de	dépourvu de
desempolvar	dépoussiérer
limpiar el polvo	dépoussiérer
renovar	dépoussiérer
pecaminoso	dépravant
pernicioso	dépravant
decadencia	dépravation
decaimiento	dépravation
depravación	dépravation
depravar	dépraver
depravado	dépravé
malvado	dépravé
perverso	dépravé
depravada	dépravée
depresivo	dépressif
deprimido	dépressif
depresivo	dépressif
bajón	dépression
depresión	dépression
hondonada	dépression
tristeza	dépression
crisis nerviosa	dépression nerveuse
depresión nerviosa	dépression nerveuse
trastorno nervioso	dépression nerveuse
depresiva	dépressive
depresivo	déprimant
deprimente	déprimant
depresión	déprime
anonadar	déprimer
apretar	déprimer
deprimir	déprimer
oprimir	déprimer
deprimido	déprimé
infravalorar	dépriser
subestimar	dépriser
subvalorar	dépriser
desprogramar	déprogrammer
depreciación	dépréciation
disminución de valor	dépréciation
depreciar	déprécier
desvalorizar	déprécier
infravalorar	déprécier
subestimar	déprécier
subvalorar	déprécier
depredador	déprédateur
depredador	déprédateur
arruinamiento	déprédation
asolación	déprédation
asolamiento	déprédation
destrucción	déprédation
devastación	déprédation
expoliación	déprédation
pillaje	déprédation
saqueo	déprédation
depredador	déprédatrice
desvirgar	dépuceler
depurador	dépurateur
depurativo	dépuratif
depurativo	dépuratif
delegación	députation
diputación	députation
comisionar	députer
delegar	députer
diputar	députer
delegada	député
delegado	député
diputada	député
diputada a Cortes	député
diputado	député
diputado a Cortes	député
miembro des Congreso	député
eurodiputada	député européen
eurodiputado	député européen
diputado que también ejerce como alcalde	député-maire
delegada	députée
diputada	députée
diputada a Cortes	députée
miembro des Congreso	députée
despenalización	dépénalisation
despenalizar	dépénaliser
consumirse	dépérir
decaer	dépérir
declinar	dépérir
depauperarse	dépérir
desmejorarse	dépérir
deteriorarse	dépérir
ir consumiéndose	dépérir
ir de capa caída	dépérir
languidecer	dépérir
marchitarse	dépérir
decaimiento	dépérissement
comunicado	dépêche
despacho	dépêche
despacho telegráfico	dépêche
noticia	dépêche
telegrama	dépêche
arrear	dépêcher
darse prisa	dépêcher
enviar	dépêcher
mandar	dépêcher
liberar	dépêtrer
librar	dépêtrer
asiento	dépôt
aval	dépôt
borra	dépôt
bosorola	dépôt
calabozo	dépôt
cochera	dépôt
depósito	dépôt
fianza	dépôt
garantía	dépôt
granero	dépôt
imposición	dépôt
incrustación	dépôt
ingreso	dépôt
poso	dépôt
presentación	dépôt
prisión preventiva	dépôt
sedimentación	dépôt
sedimento	dépôt
vertedero de basuras	dépôt d'ordures
deportación	déracinement
desarraigo	déracinement
destierro	déracinement
exilio	déracinement
expatriación	déracinement
arrancar	déraciner
arrancar de cuajo	déraciner
arrancar de raíz	déraciner
deportar	déraciner
desarraigar	déraciner
desterrar	déraciner
exilar	déraciner
exiliar	déraciner
expatriar	déraciner
descarrilamiento	déraillement
barbarizar	dérailler
bobear	dérailler
decir disparates	dérailler
decir tonterías	dérailler
delirar	dérailler
desbarrar	dérailler
descarrilar	dérailler
desvariar	dérailler
disparatar	dérailler
funcionar mal	dérailler
prevaricar	dérailler
soltar disparates	dérailler
cambio de marchas	dérailleur
cambio de marchas de bicicleta	dérailleur
absurdidad	déraison
absurdo	déraison
bobada	déraison
bobadas	déraison
desatino	déraison
dislate	déraison
disparates	déraison
gansada	déraison
tontería	déraison
tonterías	déraison
desrazonable	déraisonnable
imprudente	déraisonnable
insensato	déraisonnable
poco razonable	déraisonnable
desrazonable	déraisonnablement
imprudentemente	déraisonnablement
insensatamente	déraisonnablement
barbarizar	déraisonner
bobear	déraisonner
decir bobadas	déraisonner
decir disparates	déraisonner
decir tonterías	déraisonner
delirar	déraisonner
desatinar	déraisonner
desbarrar	déraisonner
desvariar	déraisonner
disparatar	déraisonner
prevaricar	déraisonner
soltar disparates	déraisonner
extorsión	dérangement
incomodidad	dérangement
molestia	dérangement
perturbación	dérangement
trastorno	dérangement
viaje	dérangement
descomposición	dérangement intestinal
alterar	déranger
desarreglar	déranger
desmesurar	déranger
desordenar	déranger
desquiciar	déranger
destemplar	déranger
estorbar	déranger
extorsionar	déranger
importunar	déranger
incomodar	déranger
molestar	déranger
molestarse	déranger
moverse	déranger
perturbar	déranger
trasegar	déranger
trastocar	déranger
trastornar	déranger
desordenado	dérangé
derrape	dérapage
desliz	dérapage
patinazo	dérapage
resbalón	dérapage
derrapar	déraper
descontrolarse	déraper
deslizarse	déraper
escurrirse	déraper
patinar	déraper
resbalar	déraper
resbalarse	déraper
desratización	dératisation
burla	dérision
escarnio	dérision
mofa	dérision
irrisorio	dérisoire
ridículo	dérisoire
irrisoriamente	dérisoirement
ridículamente	dérisoirement
derivativo	dérivatif
derivativo	dérivatif
derivación	dérivation
desviación	dérivation
desvío	dérivation
transvase	dérivation
deriva	dérive
desviación	dérive
orza	dérive
deducir	dériver
derivar	dériver
derivarse	dériver
derrotar	dériver
desviar	dériver
desviarse	dériver
proceder	dériver
provenir	dériver
resultar	dériver
venir dado	dériver
balandro	dériveur
derivado	dérivé
derivado	dérivé
derivada	dérivée
espantada	dérobade
evasiva	dérobade
pretexto	dérobade
subterfugio	dérobade
hundirse	dérober
hurtar	dérober
quitar	dérober
substraer	dérober
zafarse	dérober
robado	dérobé
secreto	dérobé
derogación	dérogation
derrogación	dérogation
infracción	dérogation
violación	dérogation
contravenir	déroger à
derogar	déroger à
infringir	déroger à
quebrantar	déroger à
transgredir	déroger à
violar	déroger à
dar una paliza	dérouiller
desoxidar	dérouiller
moler a palos	dérouiller
recibir una paliza	dérouiller
curso	déroulement
desarrollo	déroulement
desenrollamiento	déroulement
manera de que pasó u.c.	déroulement
marcha	déroulement
proceso	déroulement
desarrollarse	dérouler
desenrollar	dérouler
desconcertante	déroutant
derrota	déroute
desastre	déroute
desbandada	déroute
desorden	déroute
espantada	déroute
abrumar	dérouter
aturdir	dérouter
azarar	dérouter
azorar	dérouter
confundir	dérouter
desconcertar	dérouter
despistar	dérouter
desviar	dérouter
equivocar	dérouter
perturbar	dérouter
turbar	dérouter
alteración	dérèglement
desarreglo	dérèglement
desbarajuste	dérèglement
desenfreno	dérèglement
desorden	dérèglement
perturbación	dérèglement
trastorno	dérèglement
desregulación	déréglementation
liberalización	déréglementation
desregular	déréglementer
liberalizar	déréglementer
alterar	dérégler
desarreglar	dérégler
descarriarse	dérégler
desmesurar	dérégler
desnivelar	dérégler
desordenar	dérégler
desquiciar	dérégler
destrozar	dérégler
estropear	dérégler
estropearse	dérégler
perturbar	dérégler
trastornar	dérégler
desarreglado	déréglé
desordenado	déréglé
estropeado	déréglé
desencantado	désabusé
desengañado	désabusé
desilusionado	désabusé
controversia	désaccord
desacuerdo	désaccord
desavenencia	désaccord
diferencia	désaccord
diferencia de pareceres	désaccord
disconformidad	désaccord
discordancia	désaccord
discordia	désaccord
discrepancia	désaccord
disputa	désaccord
distinción	désaccord
desacordar	désaccorder
destemplar	désaccorder
desafinado	désaccordé
destemplado	désaccordé
desacoplar	désaccoupler
desconectar	désaccoupler
desenganchar	désaccoupler
desacostumbrar	désaccoutumer
desmantelar	désaffecter
desafecto	désaffection
desvío	désaffection
abandonado	désaffecté
en desuso	désaffecté
anulación	désaffiliation
rescisión	désaffiliation
de poco ambiente	désagréable
desabrido	désagréable
desagradable	désagréable
desapacible	désagréable
poco amable	désagréable
poco íntimo	désagréable
seco	désagréable
de manera desagradable	désagréablement
desabridamente	désagréablement
desagradablemente	désagréablement
secamente	désagréablement
disgregar	désagréger
disgusto	désagrément
extorsión	désagrément
incomodidad	désagrément
molestia	désagrément
desajuste	désajustement
desajustar	désajuster
que quita la sed	désaltérant
refrescante	désaltérant
apagar	désaltérer
aplacar	désaltérer
beber	désaltérer
calmar	désaltérer
