term	SWT vs MWT	Nature of the term (CEvs. native )	pattern	morpho. tag	inflected forms	frequency (lemma and forms)	most frequent form used	frequency of most frequent form used	variant (lemma)	frequency (lemma and forms)	type of variant	synonymic variant	inflected forms of the variant	most frequent form used	frequency of most frequent form used	collocational uses
Eingriffsstörung d Verzahnung	MWT		NN D NN		Eingriffsstörung der Verzahnung, Eingriffsstörungen der Verzahnung, Eingriffsstörung der Verzahnungen, Eingriffsstörungen der Verzahnungen	5	Eingriffsstörung der Verzahnung	5	-	-	-	-	-	-	-	-
Leistung d Windkraftanlage	MWT		NN D NN		Leistung der Windkraftanlage, Leistung der Windkraftanlagen, Leistungen der Windkraftanlagen	7	Leistung der Windkraftanlagen	5	Leistung ein Windkraftanlage	3	morphological	yes	Leistung einer Windkraftanlage	3	-	-
Wirkungsgrad d Stromerzeugung	MWT		NN D NN		Wirkungsgrad der Stromerzeugung	5	Wirkungsgrad der Stromerzeugung	5	-	-	-	-	-		-	-
Überschreitung d Immissionsrichtwert	MWT		NN D NN		Überschreitung der Immissionsrichtwerte, Überschreitungen der Immissionsrichtwerte, Überschreitung des Immissionsrichtwerts, Überschreitungen des Immissionsrichtwerts, Überschreitung des Immissionsrichtwertes, Überschreitungen des Immissionsrichtwertes	7	Überschreitung der Immissionsrichtwerte	7	-	-	-	-	-	-	-	-
Gewinnung elektrisch Energie	MWT		NN A NN		Gewinnung elektrischer Energie 	11	Gewinnung elektrischer Energie	11	-	-	-	-	-	-	-	-
Integration erneuerbar Energie	MWT		NN A NN		Integration erneuerbarer Energie, Integration erneuerbarer Energien	6	Integration erneuerbarer Energien	6	Integration d erneuerbar Energie	3	?	yes	Integration der erneuerbaren Energie, Integration der erneuerbaren Energien, Integrationen der erneuerbaren Energie, Integrationen der erneuerbaren Energien	Integration der erneuerbaren Energien	3	-
Netzintegration von Windenergie	MWT		NN Sp NN		Netzintegration von Windenergie	6	Netzintegration von Windenergie	6	-	-	-	-	-	-	-	-
Steigerung d Energieeffizienz	MWT		NN D NN		Steigerung der Energieeffizienz, Steigerungen der Energieeffizienz	25	Steigerung der Energieeffizienz	25	-	-	-	-	-	-	-	-
Übertragung elektrisch Energie	MWT		NN A NN		Übertragung elektrischer Energie, Übertragungen elektrischer Energie	16	Übertragung elektrischer Energie	16	-	-	-	-	-	-	-	-
Umformung elektrisch Energie	MWT		NN A NN		Umformung elektrischer Energie 	6	Umformung elektrischer Energie	6	-	-	-	-	-	-	-	-
Anlage mit Stallregelung	MWT		NN Sp NN		Anlage mit Stallregelung, Anlagen mit Stallregelung, Anlage mit Stallregelungen, Anlagen mit Stallregelungen 	5	Anlagen mit Stallregelung	5	-	-	-	-	-	-	-	-
Betrieb durch Fernsteuerung	MWT		NN Sp NN		Betrieb durch Fernsteuerung, Betriebs durch Fernsteuerung	14	Betrieb durch Fernsteuerung	14	-	-	-	-	-	-	-	-
Bindungsenergie pro Nukleon	MWT		NN Sp NN		Bindungsenergie pro Nukleon	9	Bindungsenergie pro Nukleon	9	-	-	-	-	-	-	-	-
Geräusch von Windenergieanlage	MWT		NN Sp NN		Geräusch von Windenergieanlage, Geräusche von Windenergieanlage, Geräusch von Windenergieanlagen, Geräusche von Windenergieanlagen	8	Geräusche von Windenergieanlagen	8	-	-	-	-	-	-	-	Geräuschverhalten von Windenergieanlage, Geräuschimmission von Windenergieanlage, Geräuschemissionen einer Windenergieanlage, Geräuschentstehung von Windenergieanlagen
Immission von Windenergieanlage	MWT		NN Sp NN		Immission von Windenergieanlage, Immission von Windenergieanlagen	9	Immission von Windenergieanlagen	9	-	-	-	-	-	-	-	-
Strom aus Windenergie	MWT		NN Sp NN		Strom aus Windenergie, Stroms aus Windenergie	24	Strom aus Windenergie	24	Strom aus Wind	12	?	yes	Strom aus Wind	6	-	-
Windenergienutzung auf See	MWT		NN Sp NN		Windenergienutzung auf See 	24	Windenergienutzung auf See	24	-	-	-	-	-	-	-	-
Wirkungsgrad im Teillastbereich	MWT		NN Sp NN		Wirkungsgrad im Teillastbereich, Wirkungsgrade im Teillastbereich, Wirkungsgrads im Teillastbereich, Wirkungsgrades im Teillastbereich, Wirkungsgrad in Teillastbereichen, Wirkungsgrade in Teillastbereichen, Wirkungsgrads in Teillastbereichen, Wirkungsgrades in Teillastbereichen, Wirkungsgraden in Teillastbereichen,	6	Wirkungsgrad im Teillastbereich 	3	-	-	-	-	-	-	-	-
